geoid,name,state,lat,lon
13089,DeKalb County,GA,33.7707,-84.2263
13091,Dodge County,GA,32.1644,-83.1679
13093,Dooly County,GA,32.152,-83.8072
13095,Dougherty County,GA,31.5326,-84.209
13097,Douglas County,GA,33.7012,-84.7673
13099,Early County,GA,31.3242,-84.9067
13101,Echols County,GA,30.714,-82.8974
13103,Effingham County,GA,32.3617,-81.3434
13105,Elbert County,GA,34.1164,-82.8419
13107,Emanuel County,GA,32.5911,-82.2998
13109,Evans County,GA,32.1531,-81.8902
13111,Fannin County,GA,34.8665,-84.3173
13113,Fayette County,GA,33.4127,-84.4939
13115,Floyd County,GA,34.2637,-85.2137
13117,Forsyth County,GA,34.2251,-84.1274
13119,Franklin County,GA,34.3753,-83.2275
13121,Fulton County,GA,33.79,-84.4682
13123,Gilmer County,GA,34.6905,-84.4548
13125,Glascock County,GA,33.2275,-82.6069
13127,Glynn County,GA,31.2127,-81.4964
13129,Gordon County,GA,34.5097,-84.8739
13131,Grady County,GA,30.8759,-84.245
13133,Greene County,GA,33.5767,-83.1666
13135,Gwinnett County,GA,33.9588,-84.0257
13137,Habersham County,GA,34.6344,-83.5259
13139,Hall County,GA,34.3176,-83.8185
13141,Hancock County,GA,33.2692,-83.0005
13143,Haralson County,GA,33.7952,-85.2201
13145,Harris County,GA,32.7315,-84.9124
13147,Hart County,GA,34.3487,-82.9633
13149,Heard County,GA,33.2913,-85.1379
13151,Henry County,GA,33.4529,-84.154
13153,Houston County,GA,32.4581,-83.6623
13155,Irwin County,GA,31.6043,-83.277
13157,Jackson County,GA,34.1309,-83.5626
13159,Jasper County,GA,33.317,-83.6892
13161,Jeff Davis County,GA,31.8116,-82.6368
13163,Jefferson County,GA,33.0582,-82.42
13165,Jenkins County,GA,32.7946,-81.9715
13167,Johnson County,GA,32.6946,-82.664
13169,Jones County,GA,33.0217,-83.5622
13171,Lamar County,GA,33.0744,-84.1467
13173,Lanier County,GA,31.0382,-83.0632
13175,Laurens County,GA,32.3932,-82.9263
13177,Lee County,GA,31.8184,-84.1467
13179,Liberty County,GA,31.8075,-81.4579
13181,Lincoln County,GA,33.7922,-82.4483
